Domain Code,Domain,Area Code (M49),Area,Element Code,Element,Item Code (CPC),Item,Year Code,Year,Unit,Value,Flag,Flag Description
"FBSH","Food Balances (-2013, old methodology and population)","004","Afghanistan","645","Food supply quantity (kg/capita/yr)","S2731","Bovine Meat","1961","1961","kg","4.8","E","Estimated value"
"FBSH","Food Balances (-2013, old methodology and population)","004","Afghanistan","645","Food supply quantity (kg/capita/yr)","S2731","Bovine Meat","1962","1962","kg","5.01","E","Estimated value"
"FBSH","Food Balances (-2013, old methodology and population)","004","Afghanistan","645","Food supply quantity (kg/capita/yr)","S2731","Bovine Meat","1963","1963","kg","5.06","E","Estimated value"
"FBSH","Food Balances (-2013, old methodology and population)","004","Afghanistan","645","Food supply quantity (kg/capita/yr)","S2731","Bovine Meat","1964","1964","kg","5.03","E","Estimated value"
"FBSH","Food Balances (-2013, old methodology and population)","004","Afghanistan","645","Food supply quantity (kg/capita/yr)","S2731","Bovine Meat","1965","1965","kg","4.99","E","Estimated value"
"FBSH","Food Balances (-2013, old methodology and population)","004","Afghanistan","645","Food supply quantity (kg/capita/yr)","S2731","Bovine Meat","1966","1966","kg","6.81","E","Estimated value"
"FBSH","Food Balances (-2013, old methodology and population)","004","Afghanistan","645","Food supply quantity (kg/capita/yr)","S2731","Bovine Meat","1967","1967","kg","6.36","E","Estimated value"
"FBSH","Food Balances (-2013, old methodology and population)","004","Afghanistan","645","Food supply quantity (kg/capita/yr)","S2731","Bovine Meat","1968","1968","kg","6.78","E","Estimated value"
"FBSH","Food Balances (-2013, old methodology and population)","004","Afghanistan","645","Food supply quantity (kg/capita/yr)","S2731","Bovine Meat","1969","1969","kg","6.99","E","Estimated value"
"FBSH","Food Balances (-2013, old methodology and population)","004","Afghanistan","645","Food supply quantity (kg/capita/yr)","S2731","Bovine Meat","1970","1970","kg","5.63","E","Estimated value"
"FBSH","Food Balances (-2013, old methodology and population)","004","Afghanistan","645","Food supply quantity (kg/capita/yr)","S2731","Bovine Meat","1971","1971","kg","5.48","E","Estimated value"
"FBSH","Food Balances (-2013, old methodology and population)","004","Afghanistan","645","Food supply quantity (kg/capita/yr)","S2731","Bovine Meat","1972","1972","kg","5.24","E","Estimated value"
"FBSH","Food Balances (-2013, old methodology and population)","004","Afghanistan","645","Food supply quantity (kg/capita/yr)","S2731","Bovine Meat","1973","1973","kg","5.26","E","Estimated value"
"FBSH","Food Balances (-2013, old methodology and population)","004","Afghanistan","645","Food supply quantity (kg/capita/yr)","S2731","Bovine Meat","1974","1974","kg","5.05","E","Estimated value"
"FBSH","Food Balances (-2013, old methodology and population)","004","Afghanistan","645","Food supply quantity (kg/capita/yr)","S2731","Bovine Meat","1975","1975","kg","4.86","E","Estimated value"
"FBSH","Food Balances (-2013, old methodology and population)","004","Afghanistan","645","Food supply quantity (kg/capita/yr)","S2731","Bovine Meat","1976","1976","kg","4.86","E","Estimated value"
"FBSH","Food Balances (-2013, old methodology and population)","004","Afghanistan","645","Food supply quantity (kg/capita/yr)","S2731","Bovine Meat","1977","1977","kg","5.06","E","Estimated value"
"FBSH","Food Balances (-2013, old methodology and population)","004","Afghanistan","645","Food supply quantity (kg/capita/yr)","S2731","Bovine Meat","1978","1978","kg","5.08","E","Estimated value"
"FBSH","Food Balances (-2013, old methodology and population)","004","Afghanistan","645","Food supply quantity (kg/capita/yr)","S2731","Bovine Meat","1979","1979","kg","5.36","E","Estimated value"
"FBSH","Food Balances (-2013, old methodology and population)","004","Afghanistan","645","Food supply quantity (kg/capita/yr)","S2731","Bovine Meat","1980","1980","kg","5.08","E","Estimated value"
"FBSH","Food Balances (-2013, old methodology and population)","004","Afghanistan","645","Food supply quantity (kg/capita/yr)","S2731","Bovine Meat","1981","1981","kg","5.25","E","Estimated value"
"FBSH","Food Balances (-2013, old methodology and population)","004","Afghanistan","645","Food supply quantity (kg/capita/yr)","S2731","Bovine Meat","1982","1982","kg","5.46","E","Estimated value"
"FBSH","Food Balances (-2013, old methodology and population)","004","Afghanistan","645","Food supply quantity (kg/capita/yr)","S2731","Bovine Meat","1983","1983","kg","5.55","E","Estimated value"
"FBSH","Food Balances (-2013, old methodology and population)","004","Afghanistan","645","Food supply quantity (kg/capita/yr)","S2731","Bovine Meat","1984","1984","kg","5.74","E","Estimated value"
"FBSH","Food Balances (-2013, old methodology and population)","004","Afghanistan","645","Food supply quantity (kg/capita/yr)","S2731","Bovine Meat","1985","1985","kg","5.9","E","Estimated value"
"FBSH","Food Balances (-2013, old methodology and population)","004","Afghanistan","645","Food supply quantity (kg/capita/yr)","S2731","Bovine Meat","1986","1986","kg","6.04","E","Estimated value"
"FBSH","Food Balances (-2013, old methodology and population)","004","Afghanistan","645","Food supply quantity (kg/capita/yr)","S2731","Bovine Meat","1987","1987","kg","6.38","E","Estimated value"
"FBSH","Food Balances (-2013, old methodology and population)","004","Afghanistan","645","Food supply quantity (kg/capita/yr)","S2731","Bovine Meat","1988","1988","kg","6.5","E","Estimated value"
"FBSH","Food Balances (-2013, old methodology and population)","004","Afghanistan","645","Food supply quantity (kg/capita/yr)","S2731","Bovine Meat","1989","1989","kg","6.4","E","Estimated value"
"FBSH","Food Balances (-2013, old methodology and population)","004","Afghanistan","645","Food supply quantity (kg/capita/yr)","S2731","Bovine Meat","1990","1990","kg","7.38","E","Estimated value"
"FBSH","Food Balances (-2013, old methodology and population)","004","Afghanistan","645","Food supply quantity (kg/capita/yr)","S2731","Bovine Meat","1991","1991","kg","6.86","E","Estimated value"
"FBSH","Food Balances (-2013, old methodology and population)","004","Afghanistan","645","Food supply quantity (kg/capita/yr)","S2731","Bovine Meat","1992","1992","kg","6.26","E","Estimated value"
"FBSH","Food Balances (-2013, old methodology and population)","004","Afghanistan","645","Food supply quantity (kg/capita/yr)","S2731","Bovine Meat","1993","1993","kg","6.41","E","Estimated value"
"FBSH","Food Balances (-2013, old methodology and population)","004","Afghanistan","645","Food supply quantity (kg/capita/yr)","S2731","Bovine Meat","1994","1994","kg","6.88","E","Estimated value"
"FBSH","Food Balances (-2013, old methodology and population)","004","Afghanistan","645","Food supply quantity (kg/capita/yr)","S2731","Bovine Meat","1995","1995","kg","7.39","E","Estimated value"
"FBSH","Food Balances (-2013, old methodology and population)","004","Afghanistan","645","Food supply quantity (kg/capita/yr)","S2731","Bovine Meat","1996","1996","kg","7.77","E","Estimated value"
"FBSH","Food Balances (-2013, old methodology and population)","004","Afghanistan","645","Food supply quantity (kg/capita/yr)","S2731","Bovine Meat","1997","1997","kg","8.2","E","Estimated value"
"FBSH","Food Balances (-2013, old methodology and population)","004","Afghanistan","645","Food supply quantity (kg/capita/yr)","S2731","Bovine Meat","1998","1998","kg","8.77","E","Estimated value"
"FBSH","Food Balances (-2013, old methodology and population)","004","Afghanistan","645","Food supply quantity (kg/capita/yr)","S2731","Bovine Meat","1999","1999","kg","7.45","E","Estimated value"
"FBSH","Food Balances (-2013, old methodology and population)","004","Afghanistan","645","Food supply quantity (kg/capita/yr)","S2731","Bovine Meat","2000","2000","kg","6.12","E","Estimated value"
"FBSH","Food Balances (-2013, old methodology and population)","004","Afghanistan","645","Food supply quantity (kg/capita/yr)","S2731","Bovine Meat","2001","2001","kg","5.06","E","Estimated value"
"FBSH","Food Balances (-2013, old methodology and population)","004","Afghanistan","645","Food supply quantity (kg/capita/yr)","S2731","Bovine Meat","2002","2002","kg","6.76","E","Estimated value"
"FBSH","Food Balances (-2013, old methodology and population)","004","Afghanistan","645","Food supply quantity (kg/capita/yr)","S2731","Bovine Meat","2003","2003","kg","5.94","E","Estimated value"
"FBSH","Food Balances (-2013, old methodology and population)","004","Afghanistan","645","Food supply quantity (kg/capita/yr)","S2731","Bovine Meat","2004","2004","kg","6.29","E","Estimated value"
"FBSH","Food Balances (-2013, old methodology and population)","004","Afghanistan","645","Food supply quantity (kg/capita/yr)","S2731","Bovine Meat","2005","2005","kg","5.82","E","Estimated value"
"FBSH","Food Balances (-2013, old methodology and population)","004","Afghanistan","645","Food supply quantity (kg/capita/yr)","S2731","Bovine Meat","2006","2006","kg","4.73","E","Estimated value"
"FBSH","Food Balances (-2013, old methodology and population)","004","Afghanistan","645","Food supply quantity (kg/capita/yr)","S2731","Bovine Meat","2007","2007","kg","5.33","E","Estimated value"
"FBSH","Food Balances (-2013, old methodology and population)","004","Afghanistan","645","Food supply quantity (kg/capita/yr)","S2731","Bovine Meat","2008","2008","kg","4.97","E","Estimated value"
"FBSH","Food Balances (-2013, old methodology and population)","004","Afghanistan","645","Food supply quantity (kg/capita/yr)","S2731","Bovine Meat","2009","2009","kg","4.92","E","Estimated value"
"FBSH","Food Balances (-2013, old methodology and population)","004","Afghanistan","645","Food supply quantity (kg/capita/yr)","S2731","Bovine Meat","2010","2010","kg","4.7","E","Estimated value"
"FBSH","Food Balances (-2013, old methodology and population)","004","Afghanistan","645","Food supply quantity (kg/capita/yr)","S2731","Bovine Meat","2011","2011","kg","4.83","E","Estimated value"
"FBSH","Food Balances (-2013, old methodology and population)","004","Afghanistan","645","Food supply quantity (kg/capita/yr)","S2731","Bovine Meat","2012","2012","kg","5.14","E","Estimated value"
"FBSH","Food Balances (-2013, old methodology and population)","004","Afghanistan","645","Food supply quantity (kg/capita/yr)","S2731","Bovine Meat","2013","2013","kg","4.59","E","Estimated value"
"FBSH","Food Balances (-2013, old methodology and population)","008","Albania","645","Food supply quantity (kg/capita/yr)","S2731","Bovine Meat","1961","1961","kg","4.37","E","Estimated value"
"FBSH","Food Balances (-2013, old methodology and population)","008","Albania","645","Food supply quantity (kg/capita/yr)","S2731","Bovine Meat","1962","1962","kg","4.3","E","Estimated value"
"FBSH","Food Balances (-2013, old methodology and population)","008","Albania","645","Food supply quantity (kg/capita/yr)","S2731","Bovine Meat","1963","1963","kg","4.29","E","Estimated value"
"FBSH","Food Balances (-2013, old methodology and population)","008","Albania","645","Food supply quantity (kg/capita/yr)","S2731","Bovine Meat","1964","1964","kg","3.29","E","Estimated value"
"FBSH","Food Balances (-2013, old methodology and population)","008","Albania","645","Food supply quantity (kg/capita/yr)","S2731","Bovine Meat","1965","1965","kg","3.52","E","Estimated value"
"FBSH","Food Balances (-2013, old methodology and population)","008","Albania","645","Food supply quantity (kg/capita/yr)","S2731","Bovine Meat","1966","1966","kg","3.58","E","Estimated value"
"FBSH","Food Balances (-2013, old methodology and population)","008","Albania","645","Food supply quantity (kg/capita/yr)","S2731","Bovine Meat","1967","1967","kg","4.27","E","Estimated value"
"FBSH","Food Balances (-2013, old methodology and population)","008","Albania","645","Food supply quantity (kg/capita/yr)","S2731","Bovine Meat","1968","1968","kg","3.64","E","Estimated value"
"FBSH","Food Balances (-2013, old methodology and population)","008","Albania","645","Food supply quantity (kg/capita/yr)","S2731","Bovine Meat","1969","1969","kg","4.27","E","Estimated value"
"FBSH","Food Balances (-2013, old methodology and population)","008","Albania","645","Food supply quantity (kg/capita/yr)","S2731","Bovine Meat","1970","1970","kg","4.63","E","Estimated value"
"FBSH","Food Balances (-2013, old methodology and population)","008","Albania","645","Food supply quantity (kg/capita/yr)","S2731","Bovine Meat","1971","1971","kg","4.87","E","Estimated value"
"FBSH","Food Balances (-2013, old methodology and population)","008","Albania","645","Food supply quantity (kg/capita/yr)","S2731","Bovine Meat","1972","1972","kg","4.71","E","Estimated value"
"FBSH","Food Balances (-2013, old methodology and population)","008","Albania","645","Food supply quantity (kg/capita/yr)","S2731","Bovine Meat","1973","1973","kg","4.55","E","Estimated value"
"FBSH","Food Balances (-2013, old methodology and population)","008","Albania","645","Food supply quantity (kg/capita/yr)","S2731","Bovine Meat","1974","1974","kg","4.6","E","Estimated value"
"FBSH","Food Balances (-2013, old methodology and population)","008","Albania","645","Food supply quantity (kg/capita/yr)","S2731","Bovine Meat","1975","1975","kg","4.08","E","Estimated value"
