Domain Code,Domain,Area Code (M49),Area,Element Code,Element,Item Code (CPC),Item,Year Code,Year,Unit,Value,Flag,Flag Description
"FBSH","Food Balances (-2013, old methodology and population)","004","Afghanistan","645","Food supply quantity (kg/capita/yr)","S2732","Mutton & Goat Meat","1961","1961","kg","8.18","E","Estimated value"
"FBSH","Food Balances (-2013, old methodology and population)","004","Afghanistan","645","Food supply quantity (kg/capita/yr)","S2732","Mutton & Goat Meat","1962","1962","kg","7.92","E","Estimated value"
"FBSH","Food Balances (-2013, old methodology and population)","004","Afghanistan","645","Food supply quantity (kg/capita/yr)","S2732","Mutton & Goat Meat","1963","1963","kg","8.09","E","Estimated value"
"FBSH","Food Balances (-2013, old methodology and population)","004","Afghanistan","645","Food supply quantity (kg/capita/yr)","S2732","Mutton & Goat Meat","1964","1964","kg","8.35","E","Estimated value"
"FBSH","Food Balances (-2013, old methodology and population)","004","Afghanistan","645","Food supply quantity (kg/capita/yr)","S2732","Mutton & Goat Meat","1965","1965","kg","8.64","E","Estimated value"
"FBSH","Food Balances (-2013, old methodology and population)","004","Afghanistan","645","Food supply quantity (kg/capita/yr)","S2732","Mutton & Goat Meat","1966","1966","kg","8.98","E","Estimated value"
"FBSH","Food Balances (-2013, old methodology and population)","004","Afghanistan","645","Food supply quantity (kg/capita/yr)","S2732","Mutton & Goat Meat","1967","1967","kg","9.81","E","Estimated value"
"FBSH","Food Balances (-2013, old methodology and population)","004","Afghanistan","645","Food supply quantity (kg/capita/yr)","S2732","Mutton & Goat Meat","1968","1968","kg","10.64","E","Estimated value"
"FBSH","Food Balances (-2013, old methodology and population)","004","Afghanistan","645","Food supply quantity (kg/capita/yr)","S2732","Mutton & Goat Meat","1969","1969","kg","9.91","E","Estimated value"
"FBSH","Food Balances (-2013, old methodology and population)","004","Afghanistan","645","Food supply quantity (kg/capita/yr)","S2732","Mutton & Goat Meat","1970","1970","kg","9.64","E","Estimated value"
"FBSH","Food Balances (-2013, old methodology and population)","004","Afghanistan","645","Food supply quantity (kg/capita/yr)","S2732","Mutton & Goat Meat","1971","1971","kg","9.48","E","Estimated value"
"FBSH","Food Balances (-2013, old methodology and population)","004","Afghanistan","645","Food supply quantity (kg/capita/yr)","S2732","Mutton & Goat Meat","1972","1972","kg","7.56","E","Estimated value"
"FBSH","Food Balances (-2013, old methodology and population)","004","Afghanistan","645","Food supply quantity (kg/capita/yr)","S2732","Mutton & Goat Meat","1973","1973","kg","8.32","E","Estimated value"
"FBSH","Food Balances (-2013, old methodology and population)","004","Afghanistan","645","Food supply quantity (kg/capita/yr)","S2732","Mutton & Goat Meat","1974","1974","kg","8.68","E","Estimated value"
"FBSH","Food Balances (-2013, old methodology and population)","004","Afghanistan","645","Food supply quantity (kg/capita/yr)","S2732","Mutton & Goat Meat","1975","1975","kg","9.04","E","Estimated value"
