Domain Code,Domain,Area Code (M49),Area,Element Code,Element,Item Code (CPC),Item,Year Code,Year,Unit,Value,Flag,Flag Description
"FBSH","Food Balances (-2013, old methodology and population)","004","Afghanistan","645","Food supply quantity (kg/capita/yr)","S2734","Poultry Meat","1961","1961","kg","0.63","E","Estimated value"
"FBSH","Food Balances (-2013, old methodology and population)","004","Afghanistan","645","Food supply quantity (kg/capita/yr)","S2734","Poultry Meat","1962","1962","kg","0.66","E","Estimated value"
"FBSH","Food Balances (-2013, old methodology and population)","004","Afghanistan","645","Food supply quantity (kg/capita/yr)","S2734","Poultry Meat","1963","1963","kg","0.66","E","Estimated value"
"FBSH","Food Balances (-2013, old methodology and population)","004","Afghanistan","645","Food supply quantity (kg/capita/yr)","S2734","Poultry Meat","1964","1964","kg","0.67","E","Estimated value"
"FBSH","Food Balances (-2013, old methodology and population)","004","Afghanistan","645","Food supply quantity (kg/capita/yr)","S2734","Poultry Meat","1965","1965","kg","0.7","E","Estimated value"
"FBSH","Food Balances (-2013, old methodology and population)","004","Afghanistan","645","Food supply quantity (kg/capita/yr)","S2734","Poultry Meat","1966","1966","kg","0.72","E","Estimated value"
"FBSH","Food Balances (-2013, old methodology and population)","004","Afghanistan","645","Food supply quantity (kg/capita/yr)","S2734","Poultry Meat","1967","1967","kg","0.74","E","Estimated value"
"FBSH","Food Balances (-2013, old methodology and population)","004","Afghanistan","645","Food supply quantity (kg/capita/yr)","S2734","Poultry Meat","1968","1968","kg","0.76","E","Estimated value"
"FBSH","Food Balances (-2013, old methodology and population)","004","Afghanistan","645","Food supply quantity (kg/capita/yr)","S2734","Poultry Meat","1969","1969","kg","0.89","E","Estimated value"
"FBSH","Food Balances (-2013, old methodology and population)","004","Afghanistan","645","Food supply quantity (kg/capita/yr)","S2734","Poultry Meat","1970","1970","kg","0.87","E","Estimated value"
"FBSH","Food Balances (-2013, old methodology and population)","004","Afghanistan","645","Food supply quantity (kg/capita/yr)","S2734","Poultry Meat","1971","1971","kg","0.85","E","Estimated value"
"FBSH","Food Balances (-2013, old methodology and population)","004","Afghanistan","645","Food supply quantity (kg/capita/yr)","S2734","Poultry Meat","1972","1972","kg","0.82","E","Estimated value"
"FBSH","Food Balances (-2013, old methodology and population)","004","Afghanistan","645","Food supply quantity (kg/capita/yr)","S2734","Poultry Meat","1973","1973","kg","0.84","E","Estimated value"
"FBSH","Food Balances (-2013, old methodology and population)","004","Afghanistan","645","Food supply quantity (kg/capita/yr)","S2734","Poultry Meat","1974","1974","kg","0.81","E","Estimated value"
"FBSH","Food Balances (-2013, old methodology and population)","004","Afghanistan","645","Food supply quantity (kg/capita/yr)","S2734","Poultry Meat","1975","1975","kg","0.83","E","Estimated value"
"FBSH","Food Balances (-2013, old methodology and population)","004","Afghanistan","645","Food supply quantity (kg/capita/yr)","S2734","Poultry Meat","1976","1976","kg","0.81","E","Estimated value"
"FBSH","Food Balances (-2013, old methodology and population)","004","Afghanistan","645","Food supply quantity (kg/capita/yr)","S2734","Poultry Meat","1977","1977","kg","0.83","E","Estimated value"
"FBSH","Food Balances (-2013, old methodology and population)","004","Afghanistan","645","Food supply quantity (kg/capita/yr)","S2734","Poultry Meat","1978","1978","kg","0.85","E","Estimated value"
"FBSH","Food Balances (-2013, old methodology and population)","004","Afghanistan","645","Food supply quantity (kg/capita/yr)","S2734","Poultry Meat","1979","1979","kg","0.91","E","Estimated value"
"FBSH","Food Balances (-2013, old methodology and population)","004","Afghanistan","645","Food supply quantity (kg/capita/yr)","S2734","Poultry Meat","1980","1980","kg","0.91","E","Estimated value"
"FBSH","Food Balances (-2013, old methodology and population)","004","Afghanistan","645","Food supply quantity (kg/capita/yr)","S2734","Poultry Meat","1981","1981","kg","0.96","E","Estimated value"
