Series Name,Series Code,Country Name,Country Code,2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020],2021 [YR2021]
Prevalence of hypertension (% of adults ages 30-79),SH.HTN.PREV.ZS,Afghanistan,AFG,38.2,38.4,38.6,38.8,39,39.2,39.5,39.7,39.9,40.2,..,..
Prevalence of hypertension (% of adults ages 30-79),SH.HTN.PREV.ZS,Africa Eastern and Southern,AFE,37.2090480927267,37.1101813815285,36.9421559140144,36.7212210115241,36.4751225216915,36.208885793751,35.9311551405469,35.669278738296,35.3672333955812,35.0801736050903,..,..
Prevalence of hypertension (% of adults ages 30-79),SH.HTN.PREV.ZS,Africa Western and Central,AFW,37.6323914401812,37.4969779775803,37.3845237507804,37.2171555467326,37.0942581115507,36.934602720884,36.8058917177543,36.6792168286633,36.563633135049,36.4633455958879,..,..
Prevalence of hypertension (% of adults ages 30-79),SH.HTN.PREV.ZS,Albania,ALB,41.5,41.6,41.6,41.7,41.7,41.7,41.7,41.8,41.8,41.8,..,..
Prevalence of hypertension (% of adults ages 30-79),SH.HTN.PREV.ZS,Algeria,DZA,37.4,37.3,37.2,37.1,37,36.8,36.6,36.5,36.3,36.2,..,..
Prevalence of hypertension (% of adults ages 30-79),SH.HTN.PREV.ZS,American Samoa,ASM,..,..,..,..,..,..,..,..,..,..,..,..
Prevalence of hypertension (% of adults ages 30-79),SH.HTN.PREV.ZS,Andorra,AND,34.5,34.1,33.7,33.2,32.8,32.4,32,31.7,31.4,31,..,..
Prevalence of hypertension (% of adults ages 30-79),SH.HTN.PREV.ZS,Angola,AGO,39.3,39.3,39.3,39.2,39.1,39.1,39,38.9,38.8,38.7,..,..
Prevalence of hypertension (% of adults ages 30-79),SH.HTN.PREV.ZS,Antigua and Barbuda,ATG,41.8,41.9,42.1,42.1,42.2,42.3,42.4,42.4,42.5,42.6,..,..
Prevalence of hypertension (% of adults ages 30-79),SH.HTN.PREV.ZS,Arab World,ARB,38.603295643526,38.6088435971876,38.5714639461222,38.5262958227748,38.4450215585552,38.3376391759781,38.2422532872401,38.2018140793859,38.113323802708,38.0235026809022,..,..
Prevalence of hypertension (% of adults ages 30-79),SH.HTN.PREV.ZS,Argentina,ARG,44.2,44.5,44.9,45.2,45.5,45.9,46.3,46.7,47.1,47.5,..,..
Prevalence of hypertension (% of adults ages 30-79),SH.HTN.PREV.ZS,Armenia,ARM,46.2,46.4,46.6,46.7,46.9,47,47.1,47.2,47.3,47.3,..,..
Prevalence of hypertension (% of adults ages 30-79),SH.HTN.PREV.ZS,Aruba,ABW,..,..,..,..,..,..,..,..,..,..,..,..
Prevalence of hypertension (% of adults ages 30-79),SH.HTN.PREV.ZS,Australia,AUS,29.5,29.4,29.4,29.3,29.3,29.3,29.3,29.2,29.2,29.3,..,..
Prevalence of hypertension (% of adults ages 30-79),SH.HTN.PREV.ZS,Austria,AUT,39.1,38.6,38,37.4,36.8,36.1,35.5,35,34.4,33.8,..,..
Prevalence of hypertension (% of adults ages 30-79),SH.HTN.PREV.ZS,Azerbaijan,AZE,39.7,39.9,40.1,40.3,40.5,40.6,40.7,40.8,40.9,41,..,..
Prevalence of hypertension (% of adults ages 30-79),SH.HTN.PREV.ZS,"Bahamas, The",BHS,43.4,43.6,43.8,43.9,44,44.1,44.2,44.3,44.4,44.5,..,..
